1234567890->PUNTOS: {0} / {1}	POINTS : {0} / {1}	PUNKTE: {0} / {1}	PUNTI: {0} / {1}	积分：{0} / {1}	ポイント: {0} / {1}	포인트: {0} / {1}	PUNKTY: {0} / {1}	PONTOS: {0} / {1}	БАЛЛЫ: {0} / {1}
Seleccione un depredador para agregar a su establo	Sélectionnez un prédateur à ajouter à votre grange	Wählen Sie ein Raubtier aus, das Sie zu Ihrem Stall hinzufügen möchten	Seleziona un predatore da aggiungere al tuo fienile	选择一种捕食者添加到你的谷仓	納屋に追加する捕食動物を選択してください	헛간에 추가할 포식자를 선택하세요	Wybierz drapieżnika, którego chcesz dodać do swojej stajni	Selecione um predador para adicionar ao seu celeiro	Выберите хищника для вашего сарая
Dejar	Partir	Verlassen	Partire	离开	離れる	떠나다	Wyjechać	Deixar	Оставлять
Seleccione una bendición para reemplazar	Sélectionnez un avantage à remplacer	Wähle einen Segen zum Ersetzen aus	Seleziona un vantaggio da sostituire	选择要替换的恩惠	置き換える恩恵を選択してください	대체할 혜택을 선택하세요	Wybierz dobro, które chcesz zastąpić	Selecione uma benção para substituir	Выберите благо для замены
Pérdida de puntos:	Perte de points :	Punkteverlust:	Perdita di punti:	失分：	ポイント損失:	포인트 손실:	Utrata punktów:	Perda de pontos:	Потеря очков:
Bonificación de puntos:	Bonus de points :	Punktebonus:	Punti bonus:	积分奖励：	ポイントボーナス:	포인트 보너스:	Bonus punktowy:	Bônus de pontos:	Бонусные баллы:
Pérdida de efectivo:	Perte de trésorerie :	Bargeldverlust:	Perdita di denaro:	现金损失：	現金損失:	현금 손실:	Strata gotówkowa:	Perda de caixa:	Денежный убыток:
Bono en efectivo:	Bonus en espèces :	Bargeldbonus:	Bonus in denaro:	现金奖励：	現金ボーナス:	현금 보너스:	Premia pieniężna:	Bônus em dinheiro:	Денежный бонус:
Puntos multi:	Points multiples :	Punktemultiplikator:	Punti moltiplicati:	点乘数：	ポイント倍率:	포인트 배수:	Punkty mnożą się:	Pontos múltiplos:	Множество очков:
Efectivo multi:	Trésorerie multiple :	Bargeldmultiplikator:	Moltiplicatore di contanti:	现金倍数：	現金倍数:	현금 배수:	Mnożenie gotówki:	Caixa múltiplo:	Денежный мультипликатор:
Agujas:	Points:	Punkte:	Punti:	要点：	ポイント:	전철기:	Zwrotnica:	Pontos:	Баллы:
Agujas:	Points:	Punkte:	Punti:	要点：	ポイント:	전철기:	Zwrotnica:	Pontos:	Баллы:
Dinero en efectivo:	Espèces:	Kasse:	Contanti:	现金：	現金：	현금:	Gotówka:	Dinheiro:	Наличные:
Dinero en efectivo:	Espèces:	Kasse:	Contanti:	现金：	現金：	현금:	Gotówka:	Dinheiro:	Наличные:
Oso	Ours	Tragen	Orso	熊	クマ	곰	Niedźwiedź	Urso	Медведь
Depredador. Atrae a los enemigos cercanos que no sean depredadores. Inmune a los efectos de empuje y atracción.	Prédateur. Attire les non-prédateurs proches vers lui. Immunisé contre les effets de poussée et d'attraction.	Raubtier. Zieht nahe Nicht-Raubtiere zu sich heran. Immun gegen Push- und Pull-Effekte.	Predatore. Attira verso di sé i non predatori nelle vicinanze. Immune agli effetti di spinta e trazione.	捕食者。将附近的非捕食者拉向自身。免疫推拉效果。	捕食者。近くにいる非捕食者を引き寄せる。押し引き効果は受けない。	포식자. 근처의 포식자가 아닌 적을 끌어당깁니다. 밀기 및 당기기 효과에 면역입니다.	Drapieżnik. Przyciąga do siebie pobliskie stworzenia niebędące drapieżnikami. Odporny na efekty odpychania i przyciągania.	Predador. Puxa predadores próximos em sua direção. Imune a efeitos de empurrar e puxar.	Хищник. Притягивает к себе находящихся рядом нехищников. Иммунитет к эффектам отталкивания и притягивания.
Pollo	Poulet	Huhn	Pollo	鸡	チキン	닭	Kurczak	Frango	Курица
Se mueve a ubicaciones aleatorias en el campo antes de salir.	Se déplace vers des emplacements aléatoires sur le terrain avant de sortir.	Bewegt sich vor dem Verlassen an zufällige Stellen auf dem Feld.	Si sposta in posizioni casuali sul campo prima di uscire.	退出之前移动到场地上的随机位置。	フィールドから出る前にランダムな場所に移動します。	경기장에서 나가기 전에 경기장 내 임의의 위치로 이동합니다.	Przemieszcza się w losowe miejsca na polu, po czym opuszcza je.	Move-se para locais aleatórios no campo antes de sair.	Перемещается в случайные места на поле перед тем, как уйти.
Vaca	Vache	Kuh	Mucca	奶牛	牛	암소	Krowa	Vaca	Корова
Se detiene periódicamente para pastar.	S'arrête périodiquement pour brouter.	Hält regelmäßig an, um zu grasen.	Si ferma periodicamente per brucare.	定期停下来吃草。	定期的に立ち止まって草を食べます。	주기적으로 멈춰서 방목합니다.	Zatrzymuje się okresowo, aby się posilić.	Para periodicamente para pastar.	Периодически останавливается, чтобы попастись.
Perro	Chien	Hund	Cane	狗	犬	개	Pies	Cachorro	Собака
Corre a lo largo del borde del campo, empujando a otros animales hacia el centro.	Il court le long du bord du champ, poussant les autres animaux vers le milieu.	Läuft am Rand des Feldes entlang und drängt andere Tiere in die Mitte.	Corre lungo il bordo del campo, spingendo gli altri animali verso il centro.	沿着田野的边缘奔跑，将其他动物推向中间。	フィールドの端に沿って走り、他の動物を中央に向かって押し進めます。	들판 가장자리를 따라 달리면서 다른 동물들을 중앙으로 밀어낸다.	Biegnie wzdłuż krawędzi pola, spychając inne zwierzęta w kierunku środka.	Corre ao longo da borda do campo, empurrando outros animais para o meio.	Бежит по краю поля, оттесняя других животных к центру.
Zorro	Renard	Fuchs	Volpe	狐狸	キツネ	여우	Lis	Raposa	Лиса
Depredador. Se mueve arriba y abajo del campo esporádicamente.	Prédateur. Se déplace sporadiquement sur le terrain.	Raubtier. Bewegt sich sporadisch auf dem Feld auf und ab.	Predatore. Si muove avanti e indietro sul campo sporadicamente.	捕食者。不时地在田野里来回移动。	捕食者。フィールド上を散発的に上下に移動する。	포식자. 들판을 불규칙적으로 위아래로 움직인다.	Drapieżnik. Porusza się po boisku w różnych kierunkach.	Predador. Move-se para cima e para baixo no campo esporadicamente.	Хищник. Спорадически перемещается по полю вверх и вниз.
Cabra	Chèvre	Ziege	Capra	山羊	ヤギ	염소	Koza	Cabra	Козел
Ralentiza a los depredadores cercanos.	Ralentit les prédateurs proches.	Verlangsamt Raubtiere in der Nähe.	Rallenta i predatori nelle vicinanze.	减缓附近掠食者的速度。	近くの捕食者の動きを遅くします。	근처의 포식자를 느리게 만듭니다.	Spowalnia pobliskie drapieżniki.	Retarda predadores próximos.	Замедляет находящихся поблизости хищников.
Caballo	Cheval	Pferd	Cavallo	马	馬	말	Koń	Cavalo	Лошадь
Corre rápidamente por el campo.	Il court rapidement à travers le champ.	Läuft schnell über das Feld.	Corre velocemente attraverso il campo.	迅速地跑过田野。	フィールドを素早く走り抜けます。	들판을 가로질러 빠르게 달린다.	Szybko biegnie przez pole.	Corre rapidamente pelo campo.	Быстро бежит по полю.
Cerdo	Cochon	Schwein	Maiale	猪	豚	돼지	Świnia	Porco	Свинья
Serpentea de manera previsible.	Des méandres prévisibles.	Mäandert vorhersehbar.	Serpeggia in modo prevedibile.	蜿蜒曲折，可想而知。	予想通り蛇行します。	예상대로 구불구불하게 흐릅니다.	Meandruje przewidywalnie.	Serpenteia previsivelmente.	Извивается предсказуемо.
Oveja	Mouton	Schaf	Pecora	羊	羊	양	Owce	Ovelha	Овца
Corre en línea recta.	Il roule en ligne droite.	Verläuft in einer geraden Linie.	Corre in linea retta.	沿直线奔跑。	直線的に走ります。	직선으로 달립니다.	Biegnie po linii prostej.	Corre em linha reta.	Идет по прямой линии.
Lobo	Loup	Wolf	Lupo	狼	狼	늑대	Wilk	Lobo	Волк
Depredador. Persigue a los no depredadores.	Prédateur. Chasse les non-prédateurs.	Raubtier. Jagt Nicht-Raubtiere.	Predatore. Insegue i non predatori.	捕食者。追逐非捕食者。	捕食者。非捕食者を追いかける。	포식자. 포식자가 아닌 사람을 쫓는다.	Drapieżnik. Poluje na zwierzęta niebędące drapieżnikami.	Predador. Persegue não predadores.	Хищник. Преследует нехищников.
¡Beeeee!	Baaaaa!	Määäääää!	Beaaaa!	咩！	メェー！	바아아아!	Beee!	Baaaaa!	Бааааа!
Lazo un grupo de animales que contiene una oveja y una cabra	Lasso un groupe d'animaux contenant un mouton et une chèvre	Lasso eine Gruppe von Tieren, darunter ein Schaf und eine Ziege	Lazo un gruppo di animali contenente una pecora e una capra	套索一群动物，包括一只绵羊和一只山羊	羊とヤギを含む動物のグループを投げ縄で捕まえる	양과 염소가 포함된 동물 무리를 올가미로 묶다	Lasso – grupa zwierząt zawierająca owcę i kozę	Laço um grupo de animais contendo uma ovelha e uma cabra	Лассо — группа животных, включающая овцу и козу.
Tocino y huevos	Bacon et œufs	Speck und Eier	Pancetta e uova	培根和鸡蛋	ベーコンと卵	베이컨과 계란	Bekon i jajka	Bacon e Ovos	Яичница с беконом
Lazo un grupo de animales que contiene un cerdo y un pollo	Lasso un groupe d'animaux contenant un cochon et un poulet	Lasso eine Gruppe von Tieren, darunter ein Schwein und ein Huhn	Lazo un gruppo di animali contenente un maiale e un pollo	套住一群动物，包括一只猪和一只鸡	豚と鶏を含む動物のグループを投げ縄で捕まえる	돼지와 닭이 포함된 동물 무리를 올가미로 묶으세요	Złap grupę zwierząt zawierającą świnię i kurczaka	Laço um grupo de animais contendo um porco e uma galinha	Лассо — группа животных, включающая свинью и курицу.
Caninos	Canidés	Eckzähne	Canini	犬齿	犬歯	개	Kły	Caninos	Клыки
Lazo un grupo de animales que contiene un perro, un zorro y un lobo	Lasso un groupe d'animaux contenant un chien, un renard et un loup	Lasso eine Gruppe von Tieren, bestehend aus einem Hund, einem Fuchs und einem Wolf	Lazo un gruppo di animali contenente un cane, una volpe e un lupo	套住一群动物，包括一只狗、一只狐狸和一只狼	犬、キツネ、オオカミを含む動物のグループを投げ縄で捕まえる	개, 여우, 늑대가 포함된 동물 그룹을 올가미로 묶으세요	Złap grupę zwierząt składającą się z psa, lisa i wilka	Laço um grupo de animais contendo um cão, uma raposa e um lobo	Лассо — группа животных, включающая Собаку, Лису и Волка.
Vaca lechera	Vache à lait	Goldesel	Mucca da soldi	摇钱树	キャッシュカウ	현금 소	Dojna krowa	Vaca leiteira	Дойная корова
Lazo exactamente a una vaca	Lasso exactement une vache	Lasso genau eine Kuh	Prendi al lazo esattamente una mucca	套住一头牛	牛を1頭だけ投げ縄で捕まえる	소 한 마리를 정확히 올가미로 묶으세요	Złap dokładnie jedną krowę	Laço exatamente uma vaca	Лассо ровно одна Корова
Pollo Jockey	Jockey de poulet	Hühnerjockey	Chicken Jockey	鸡骑师	チキンジョッキー	치킨 조키	Dżokej z kurczaka	Frango Jóquei	Куриный Жокей
Lazo un grupo de animales que contiene 1 pollo y 1 caballo	Lasso un groupe d'animaux contenant 1 poulet et 1 cheval	Fangen Sie eine Gruppe von Tieren, bestehend aus 1 Huhn und 1 Pferd, mit dem Lasso ein	Lazo un gruppo di animali contenente 1 pollo e 1 cavallo	套住一组动物，包括 1 只鸡和 1 匹马	鶏1羽と馬1頭を含む動物のグループを投げ縄で捕まえる	닭 1마리와 말 1마리를 포함한 동물 무리를 올가미로 묶으세요	Złap grupę zwierząt zawierającą 1 kurczaka i 1 konia	Laço um grupo de animais contendo 1 galinha e 1 cavalo	Заарканьте группу животных, состоящую из 1 курицы и 1 лошади.
Contando ovejas	Compter les moutons	Schafe zählen	Contare le pecore	数羊	羊を数える	양을 세다	Liczenie owiec	Contando Ovelhas	Подсчет овец
Lazo un grupo de animales que contiene 3 ovejas	Lasso un groupe d'animaux contenant 3 moutons	Fangen Sie eine Gruppe von Tieren mit 3 Schafen ein	Lazo un gruppo di animali contenente 3 pecore	套住一组动物，其中有 3 只羊	3匹の羊を含む動物の群れを投げ縄で捕まえる	양 3마리를 포함한 동물 무리를 올가미로 묶다	Złap grupę zwierząt zawierającą 3 owce	Laço um grupo de animais contendo 3 ovelhas	Лассо – группа животных, состоящая из 3 овец
Evolución	Évolution	Evolution	Evoluzione	进化	進化	진화	Ewolucja	Evolução	Эволюция
Lazo un grupo de animales que contiene un perro y un lobo	Lasso un groupe d'animaux contenant un chien et un loup	Lasso eine Gruppe von Tieren, bestehend aus einem Hund und einem Wolf	Lazo un gruppo di animali contenente un cane e un lupo	套住一群动物，包括一只狗和一只狼	犬とオオカミを含む動物のグループを投げ縄で捕まえる	개와 늑대가 포함된 동물 그룹을 올가미로 묶습니다.	Złap grupę zwierząt zawierającą psa i wilka	Laço um grupo de animais contendo um cão e um lobo	Лассо — группа животных, включающая Собаку и Волка
El dilema de los agricultores	Le dilemme des agriculteurs	Bauerndilemma	Il dilemma degli agricoltori	农民困境	農民のジレンマ	농부의 딜레마	Dylemat rolnika	Dilema dos Agricultores	Дилемма фермера
Lazo un grupo de animales que contiene un zorro y un pollo	Lasso un groupe d'animaux contenant un renard et un poulet	Lasso eine Gruppe von Tieren, darunter ein Fuchs und ein Huhn	Lazo un gruppo di animali contenente una volpe e un pollo	套住一群动物，包括一只狐狸和一只鸡	キツネとニワトリを含む動物のグループを投げ縄で捕まえる	여우와 닭이 포함된 동물 그룹을 올가미로 묶으세요	Złap grupę zwierząt zawierającą lisa i kurczaka	Laço um grupo de animais contendo uma raposa e uma galinha	Лассо — группа животных, включающая Лису и Курицу.
Comida rápida	Restauration rapide	Fastfood	Fast food	快餐	ファーストフード	패스트푸드	Fast food	Comida rápida	Быстрое питание
Lazo un grupo de animales que contiene una vaca y un pollo	Lasso un groupe d'animaux contenant une vache et un poulet	Lasso eine Gruppe von Tieren, darunter eine Kuh und ein Huhn	Lazo un gruppo di animali contenente una mucca e un pollo	套住一群动物，包括一头牛和一只鸡	牛と鶏を含む動物のグループを投げ縄で捕まえる	소와 닭이 포함된 동물 그룹을 올가미로 묶으세요	Złap grupę zwierząt zawierającą krowę i kurczaka	Laço um grupo de animais contendo uma vaca e uma galinha	Лассо — группа животных, включающая корову и курицу.
Zorro en un gallinero	Renard dans un poulailler	Fuchs im Hühnerstall	Volpe in un pollaio	鸡舍里的狐狸	鶏小屋のキツネ	닭장 속의 여우	Lis w kurniku	Raposa em um galinheiro	Лиса в курятнике
Lazo un grupo de animales que contiene un zorro y tres pollos	Lasso un groupe d'animaux contenant un renard et trois poulets	Lasso eine Gruppe von Tieren, darunter ein Fuchs und drei Hühner	Lazo un gruppo di animali contenente una volpe e tre polli	套住一群动物，包括一只狐狸和三只鸡	キツネとニワトリ3羽を含む動物の群れを投げ縄で捕まえる	여우 한 마리와 닭 세 마리가 포함된 동물 무리를 올가미로 묶으세요.	Złap grupę zwierząt zawierającą lisa i trzy kurczaki	Laço um grupo de animais contendo uma raposa e três galinhas	Лассо — группа животных, состоящая из лисы и трёх куриц.
Encerrada dorada	Boucle d'or	Goldlöckchen	Riccioli d'oro	金发姑娘	ゴルディロックス	미역취 속의 일종	Złotowłosa	Cachinhos Dourados	Златовласка
Lazo un grupo de animales que contiene 3 osos	Lasso un groupe d'animaux contenant 3 ours	Fangen Sie eine Gruppe von Tieren, darunter 3 Bären, mit dem Lasso ein	Lazo un gruppo di animali contenente 3 orsi	套住一组动物，其中有 3 只熊	3匹のクマを含む動物の群れを投げ縄で捕まえる	곰 3마리가 포함된 동물 무리를 올가미로 묶다	Złap grupę zwierząt zawierającą 3 niedźwiedzie	Laço um grupo de animais contendo 3 ursos	Лассо — группа животных, включающая 3 медведя
¿Tienes leche?	Tu as du lait ?	Hast du Milch?	Hai del latte?	有牛奶吗？	ミルクありますか？	우유 있나요?	Masz mleko?	Tem leite?	Есть молоко?
Lazo un grupo de animales que contiene una vaca y una cabra	Lasso un groupe d'animaux contenant une vache et une chèvre	Lasso eine Gruppe von Tieren, darunter eine Kuh und eine Ziege	Lazo un gruppo di animali contenente una mucca e una capra	套索一群动物，包括一头牛和一只山羊	牛とヤギを含む動物のグループを投げ縄で捕まえる	소와 염소가 포함된 동물 그룹을 올가미로 묶습니다.	Lasso – grupa zwierząt zawierająca krowę i kozę	Laço um grupo de animais contendo uma vaca e uma cabra	Лассо — группа животных, включающая корову и козу.
Hay allí	Il y a du foin là-bas	Heu da	Fieno lì	干草那里	干し草	헤이 거기	Siano tam	Feno lá	Эй, там
Lazo: un grupo de animales que contiene una vaca, una cabra, un caballo y una oveja.	Lasso un groupe d'animaux contenant une vache, une chèvre, un cheval et un mouton	Fangen Sie eine Gruppe von Tieren mit dem Lasso ein, darunter eine Kuh, eine Ziege, ein Pferd und ein Schaf	Lazo un gruppo di animali contenente una mucca, una capra, un cavallo e una pecora	套索一组动物，包括牛、山羊、马和绵羊	牛、ヤギ、馬、羊を含む動物のグループを投げ縄で捕まえる	소, 염소, 말, 양을 포함한 동물 그룹을 올가미로 묶습니다.	Lasso – grupa zwierząt składająca się z krowy, kozy, konia i owcy	Laço: um grupo de animais contendo uma vaca, uma cabra, um cavalo e uma ovelha	Лассо — группа животных, включающая корову, козу, лошадь и овцу.
Jamón al horno con miel	Jambon cuit au miel	Honig-Schinken	Prosciutto al miele	蜜汁烤火腿	ハニーベイクドハム	허니 베이크드 햄	Szynka pieczona w miodzie	Presunto Assado com Mel	Запеченная ветчина с медом
Lazo un grupo de animales que contiene un cerdo y un oso	Lasso un groupe d'animaux contenant un cochon et un ours	Lasso eine Gruppe von Tieren, darunter ein Schwein und ein Bär	Lazo un gruppo di animali contenente un maiale e un orso	套住一群动物，包括一只猪和一只熊	豚と熊を含む動物のグループを投げ縄で捕まえる	돼지와 곰이 포함된 동물 무리를 올가미로 묶으세요	Złap grupę zwierząt zawierającą świnię i niedźwiedzia	Laço um grupo de animais contendo um porco e um urso	Лассо — группа животных, включающая свинью и медведя.
Lobo solitario	Loup solitaire	Einzelgänger	Lupo solitario	孤狼	ローンウルフ	외로운 늑대	Samotny Wilk	Lobo Solitário	Одинокий Волк
Lazo exactamente 1 Lobo	Lasso exactement 1 Loup	Lasso genau 1 Wolf	Cattura con il lazo esattamente 1 lupo	套住 1 只狼	正確に1匹のオオカミを投げ縄で捕まえる	늑대 1마리를 정확히 올가미로 묶으세요	Lasso dokładnie 1 Wilka	Laço exatamente 1 Lobo	Лассо ровно 1 Волк
El viejo MacDonald	Le vieux MacDonald	Alter MacDonald	Vecchio MacDonald	老麦克唐纳	オールド・マクドナルド	올드 맥도날드	Stary MacDonald	Velho MacDonald	Старый Макдональд
Lazo, un grupo de animales que contiene un pollo, una vaca, un caballo, una oveja y un cerdo.	Lasso un groupe d'animaux contenant un poulet, une vache, un cheval, un mouton et un cochon	Fangen Sie eine Gruppe von Tieren, bestehend aus einem Huhn, einer Kuh, einem Pferd, einem Schaf und einem Schwein, mit dem Lasso ein.	Lazo un gruppo di animali contenente un pollo, una mucca, un cavallo, una pecora e un maiale	套住一组动物，包括鸡、牛、马、羊和猪	鶏、牛、馬、羊、豚を含む動物のグループを投げ縄で捕まえる	닭, 소, 말, 양, 돼지 등 동물 무리를 올가미로 묶다	Złap grupę zwierząt składającą się z kurczaka, krowy, konia, owcy i świni	Laço: um grupo de animais contendo uma galinha, uma vaca, um cavalo, uma ovelha e um porco	Лассо — группа животных, включающая курицу, корову, лошадь, овцу и свинью.
Foto Finish	Photo-Finish	Fotofinish	Fotofinish	照片完成	写真判定	사진 마무리	Fotofinisz	Acabamento fotográfico	Фотофиниш
Lazo un grupo de animales que contiene 2 Caballos	Lasso un groupe d'animaux contenant 2 chevaux	Lasso eine Gruppe von Tieren, darunter 2 Pferde	Lazo un gruppo di animali contenente 2 cavalli	套住一组动物，其中有两匹马	2頭の馬を含む動物の群れを投げ縄で捕まえる	2마리의 말이 포함된 동물 그룹을 올가미로 묶습니다.	Złap grupę zwierząt zawierającą 2 konie	Laço um grupo de animais contendo 2 cavalos	Лассо — группа животных, состоящая из 2 лошадей
Hucha	Tirelire	Sparschwein	Salvadanaio	存钱罐	貯金箱	돼지 저금통	Skarbonka	Cofrinho	Копилка
Lazo un grupo de animales que contiene un Cerdo	Lasso un groupe d'animaux contenant un cochon	Lasso eine Gruppe von Tieren, darunter ein Schwein	Lazo un gruppo di animali contenente un maiale	套住一群动物，包括一只猪	豚を含む動物のグループを投げ縄で捕まえる	돼지를 포함한 동물 무리를 올가미로 묶다	Złap grupę zwierząt zawierającą świnię	Laço um grupo de animais contendo um porco	Лассо – группа животных, содержащая свинью.
Cerdo en una manta	Cochon dans une couverture	Schwein im Schlafrock	Maiale in una coperta	毯子里的猪	ピッグ・イン・ア・ブランケット	담요 속의 돼지	Świnka w kocyku	Porco em um cobertor	Поросёнок в одеяле
Lazo un grupo de animales que contiene un cerdo y una oveja	Lasso un groupe d'animaux contenant un cochon et un mouton	Lasso eine Gruppe von Tieren, darunter ein Schwein und ein Schaf	Lazo un gruppo di animali contenente un maiale e una pecora	套住一群动物，包括一只猪和一只羊	豚と羊を含む動物のグループを投げ縄で捕まえる	돼지와 양을 포함한 동물 무리를 올가미로 묶다	Złap grupę zwierząt zawierającą świnię i owcę	Laço um grupo de animais contendo um porco e uma ovelha	Лассо — группа животных, включающая свинью и овцу.
Talla grande	Grande taille	Übergröße	taglie forti	加大尺码	プラスサイズ	플러스 사이즈	Duży rozmiar	Tamanho grande	Плюс Размер
Lazo un grupo de animales que contiene una vaca y un oso	Lasso un groupe d'animaux contenant une vache et un ours	Lasso eine Gruppe von Tieren, darunter eine Kuh und ein Bär	Lazo un gruppo di animali contenente una mucca e un orso	套住一群动物，包括一头牛和一头熊	牛と熊を含む動物の群れを投げ縄で捕まえる	소와 곰이 포함된 동물 그룹을 올가미로 묶으세요	Złap grupę zwierząt zawierającą krowę i niedźwiedzia	Laço um grupo de animais contendo uma vaca e um urso	Лассо — группа животных, включающая Корову и Медведя
Depredador	Prédateur	Raubtier	Predatore	掠夺性	略奪的	포식적인	Drapieżny	Predatório	Хищный
Lazo, un grupo de animales que contiene un oso, un lobo y un zorro.	Lasso un groupe d'animaux contenant un ours, un loup et un renard	Lasso eine Gruppe von Tieren, darunter ein Bär, ein Wolf und ein Fuchs	Lazo un gruppo di animali contenente un orso, un lupo e una volpe	套住一群动物，包括一只熊、一只狼和一只狐狸	クマ、オオカミ、キツネを含む動物のグループを投げ縄で捕まえる	곰, 늑대, 여우가 포함된 동물 그룹을 올가미로 묶으세요.	Złap grupę zwierząt zawierającą niedźwiedzia, wilka i lisa	Laço: um grupo de animais contendo um urso, um lobo e uma raposa	Лассо — группа животных, включающая медведя, волка и лису.
Socios de carreras	Partenaires de course	Rennpartner	Partner di gara	赛马合作伙伴	レーシングパートナー	레이싱 파트너	Partnerzy wyścigowi	Parceiros de corrida	Партнеры по гонкам
Lazo un grupo de animales que contiene un caballo y un perro	Lasso un groupe d'animaux contenant un cheval et un chien	Lasso eine Gruppe von Tieren, bestehend aus einem Pferd und einem Hund	Lazo un gruppo di animali contenente un cavallo e un cane	套索一群动物，包括一匹马和一只狗	馬と犬を含む動物のグループを投げ縄で捕まえる	말과 개가 포함된 동물 그룹을 올가미로 묶다	Złap grupę zwierząt zawierającą konia i psa	Laço um grupo de animais contendo um cavalo e um cachorro	Лассо — группа животных, включающая Лошадь и Собаку
Los tres cerditos	Les trois petits cochons	Drei kleine Schweinchen	I tre porcellini	三只小猪	三匹の子豚	세 마리의 작은 돼지	Trzy małe świnki	Três Porquinhos	Три поросенка
Lazo un grupo de animales que contiene 3 cerdos y 1 lobo	Lasso un groupe d'animaux contenant 3 cochons et 1 loup	Fangen Sie eine Gruppe von Tieren mit dem Lasso ein, bestehend aus 3 Schweinen und 1 Wolf	Lazo un gruppo di animali contenente 3 maiali e 1 lupo	套住一组动物，包括 3 只猪和 1 只狼	3匹の豚と1匹の狼を含む動物のグループを投げ縄で捕まえる	돼지 3마리와 늑대 1마리가 포함된 동물 무리를 올가미로 묶으세요	Złap grupę zwierząt składającą się z 3 świń i 1 wilka	Laço um grupo de animais contendo 3 porcos e 1 lobo	Лассо — группа животных, состоящая из 3 свиней и 1 волка.
Lobo con piel de oveja	Loup déguisé en mouton	Wolf im Schafspelz	Lupo travestito da pecora	披着羊皮的狼	羊の皮をかぶった狼	양의 탈을 쓴 늑대	Wilk w owczej skórze	Lobo em pele de cordeiro	Волк в овечьей шкуре
Lazo un grupo de animales que contiene un lobo y una oveja	Lasso un groupe d'animaux contenant un loup et un mouton	Lasso eine Gruppe von Tieren, darunter ein Wolf und ein Schaf	Lazo un gruppo di animali contenente un lupo e una pecora	套住一群动物，包括一只狼和一只羊	オオカミと羊を含む動物の群れを投げ縄で捕まえる	늑대와 양을 포함한 동물 무리를 올가미로 묶다	Lasso – grupa zwierząt zawierająca wilka i owcę	Laço um grupo de animais contendo um lobo e uma ovelha	Лассо — группа животных, включающая волка и овцу.
¡Bienvenido a Wrangle Ranch!	Bienvenue au Wrangle Ranch !	Willkommen auf der Wrangle Ranch!	Benvenuti al Wrangle Ranch!	欢迎来到 Wrangle Ranch！	Wrangle Ranch へようこそ!	랭글 랜치에 오신 것을 환영합니다!	Witamy w Wrangle Ranch!	Bem-vindo ao Wrangle Ranch!	Добро пожаловать на ранчо Врэнгл!
